,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
100,Universität Bielefeld,"Universität Bielefeld is located in Bielefeld, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Bielefeld has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       10 companies in the Universität Bielefeld corporate family.",,$4.77 million,4,2.23
102,Cloudflight GmbH,"Cloudflight GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Cloudflight GmbH has        2 employees at this location and generates $137,212 in sales (USD). (Sales figure is modelled). There are        8 companies in the Cloudflight GmbH corporate family.",2,"$137,212",2,2.35
103,Picsure,"Picsure is located in Carrollton, TX, United States and is part of the Business Support Services Industry. Picsure has        4 total employees across all of its locations and generates $94,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$94,000",,
104,understandAI GmbH,"understandAI GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. understandAI GmbH has       50 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). There are       12 companies in the understandAI GmbH corporate family.",50,"$826,125",3,2.35
105,ArtiMinds Robotics GmbH,"ArtiMinds Robotics GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. ArtiMinds Robotics GmbH has       53 employees at this location and generates $2.27 million in sales (USD). (Sales figure is estimated). ",53,$2.27 million,1,2.35
106,Toposens GmbH,"Toposens GmbH is located in München, Bayern, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Toposens GmbH has       20 employees at this location and generates $2.07 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Toposens GmbH corporate family.",20,$2.07 million,2,2.48
107,Wandelbots GmbH,"Wandelbots GmbH is located in Dresden, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Wandelbots GmbH has       73 employees at this location and generates $4.55 million in sales (USD). (Sales figure is estimated). ",73,$4.55 million,3,2.35
108,SICK AG,"SICK AG provides its customers with a special brand of healthy en-light-enment. The company produces sensory devices for the automotive, electronics, food and beverage, material handling, and packaging industries. Products include bar code scanners, color sensors, contrast and luminescence scanners, encoders, light grids, photoelectric sensors, and position finders. In 1946, Erwin Sick obtained a license from the US military to practice engineering;","6,506",$2.01 billion,1,2.48
111,EvoTegra GmbH,"EvoTegra GmbH is located in Gau-Bischofsheim, Rheinland-Pfalz, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. EvoTegra GmbH has        3 employees at this location and generates $625,495 in sales (USD). (Sales figure is estimated). ",3,"$625,495",1,2.23
112,zeroBS GmbH,"zeroBS GmbH is located in Kiel, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. zeroBS GmbH has        7 employees at this location and generates $798,492 in sales (USD). (Sales figure is estimated). ",7,"$798,492",5,2.35
113,InterRed GmbH,"InterRed GmbH is located in Haiger, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. InterRed GmbH has       50 employees at this location and generates $6.65 million in sales (USD). (Sales figure is estimated). There are        2 companies in the InterRed GmbH corporate family.",50,$6.65 million,1,2.35
114,InterRed GmbH,"InterRed GmbH is located in Siegen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the InterRed GmbH corporate family.",,,1,2.35
115,Universität zu Köln,"Universität zu Köln is located in Köln, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität zu Köln has    2,363 total employees across all of its locations and generates $668.35 million in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are       42 companies in the Universität zu Köln corporate family.",,$668.35 million,2,2.23
116,THD - Technische Hochschule Deggendorf,"THD - Technische Hochschule Deggendorf is located in Teisnach, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry.  There are        4 companies in the THD - Technische Hochschule Deggendorf corporate family.",,,2,2.23
119,disy Informationssysteme GmbH,"disy Informationssysteme GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. disy Informationssysteme GmbH has      120 employees at this location and generates $8.98 million in sales (USD). (Sales figure is estimated). ",120,$8.98 million,1,2.35
120,DISY INFORMATIONSSYSTEME GMBH,"DISY INFORMATIONSSYSTEME GMBH is located in ROMA, ROMA, Italy and is part of the Software Publishers Industry. DISY INFORMATIONSSYSTEME GMBH has        1 employees at this location and generates $70,000 in sales (USD). (Sales figure is modelled). ",1,"$70,000",,
121,Hochschule Schmalkalden,"Hochschule Schmalkalden is located in Schmalkalden, Thüringen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Schmalkalden has        5 total employees across all of its locations and generates $157,000 in sales (USD). (Employees and Sales figures are modelled). ",5,"$157,000",2,2.23
122,Risk.Ident GmbH,"Risk.Ident GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. Risk.Ident GmbH has       70 employees at this location and generates $6.19 million in sales (USD). (Sales figure is estimated). There are      908 companies in the Risk.Ident GmbH corporate family.",70,$6.19 million,3,2.35
123,Ergosign GmbH,"Ergosign GmbH is located in Saarbrücken, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. Ergosign GmbH has      156 employees at this location and generates $15.96 million in sales (USD). (Sales figure is estimated). There are       30 companies in the Ergosign GmbH corporate family.",156,$15.96 million,2,2.35
124,Ergosign GmbH,"Ergosign GmbH is located in Hamburg, Hamburg, Germany and is part of the Software Publishers Industry.  There are       30 companies in the Ergosign GmbH corporate family.",,,2,2.35
125,Technische Universität Berlin,"Technische Universität Berlin is located in Berlin, Berlin, Germany and is part of the Colleges, Universities, and Professional Schools Industry.  There are       49 companies in the Technische Universität Berlin corporate family.",,,2,2.23
127,Bleenco GmbH,"Bleenco GmbH is located in München, Bayern, Germany and is part of the Management of Companies and Enterprises Industry. Bleenco GmbH has        2 total employees across all of its locations and generates $542,882 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the Bleenco GmbH corporate family.",2,"$542,882",3,2.73
128,Rheinische Friedrich-Wilhelms-Universität Bonn,"Rheinische Friedrich-Wilhelms-Universität Bonn is located in Bonn, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Rheinische Friedrich-Wilhelms-Universität Bonn has    6,840 employees at this location and generates $652.24 million in sales (USD). (Sales figure is modelled). There are       54 companies in the Rheinische Friedrich-Wilhelms-Universität Bonn corporate family.","6,840",$652.24 million,2,2.23
129,micropsi industries GmbH,"micropsi industries GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. micropsi industries GmbH has       23 employees at this location and generates $660,900 in sales (USD). (Sales figure is estimated). ",23,"$660,900",1,2.35
130,DIGITAL HELIX GmbH,"DIGITAL HELIX GmbH is located in Neuried, Bayern, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. DIGITAL HELIX GmbH has        3 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the DIGITAL HELIX GmbH corporate family.",,"$118,018",3,2.23
