,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
493,Q101406423,Universität Bielefeld Lehrstuhl Anorganische Chemie I,academic department,academic department,,,,
494,Q101837279,Universitätsklinikum Jena Institut für Anatomie I,research institute,research institute,,,,
495,Q54096,University of Cologne,university in Germany,public university,,UniCologne,+42686,
496,,,,,,,,
497,,,,,,,,
498,,,,,,,,
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,Q884111,University of Applied Sciences in Saarbrücken,,university of applied sciences,,htw,+1703,
503,,,,,,,,
504,Q101834678,Universität Kassel Institut für Physik,research institute,research institute,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,,,,,
523,,,,,,,,
524,,,,,,,,
525,Q2348701,Stifterverband für die Deutsche Wissenschaft,,charitable organization,,stifterverband,+10807,
526,,,,,,,,
527,,,,,,,,
528,,,,,,,,
529,,,,,,,,
530,,,,,,,,
531,,,,,,,,
532,,,,,,,,
533,,,,,,,,
534,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
535,Q122453,University of Stuttgart,German public university,public university,,Uni_Stuttgart,+9878,
536,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
537,Q101834003,Universität Duisburg-Essen Medizinische Fakultät,medical school,medical school,,,,
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,Q338825,Accenture,"multinational management consulting, technology services and outsourcing company",business,+459000,Accenture,+510508,
542,,,,,,,,
543,,,,,,,,
544,,,,,,,,
545,,,,,,,,
546,Q104218005,Centogene N.V.,biotech company,enterprise,,,,
547,,,,,,,,
548,,,,,,,,
549,,,,,,,,
550,,,,,,,,
551,,,,,,,,
552,,,,,,,,
553,Q101835882,Universität Passau Philosophische Fakultät,academic department,academic department,,,,
554,,,,,,,,
555,,,,,,,,
556,,,,,,,,
557,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
558,,,,,,,,
559,,,,,,,,
560,Q1622071,Aalen University of Applied Sciences,,university of applied sciences,,,,
561,,,,,,,,
562,Q500692,University of Bremen,university in Germany,public university,,unibremen,+8058,
563,Q234021,Robert Bosch GmbH,"German manufacturing company of automotive parts, household appliances, etc.",conglomerate,+400100,BoschGlobal,+253551,+73129000000
564,,,,,,,,
565,Q163566,KUKA,company,business,,KUKA_Press,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,,
569,,,,,,,,
570,Q108294630,BioVariance GmbH,,business,,,,
571,,,,,,,,
572,,,,,,,,
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,Q101838687,Universität Ulm Medizinische Fakultät,medical school,medical school,,,,
578,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
579,Q156737,University of Kiel,university in Germany,public university,,kieluni,+7569,
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,,
585,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
586,,,,,,,,
587,,,,,,,,
588,Q101426756,Universität Mannheim Lehrstuhl für Allgemeine Betriebswirtschaftslehre und Betriebswirtschaftliche Steuerlehre,business school,business school,,,,
589,Q101839231,Universität zu Lübeck Sektion Medizin,medical school,medical school,,,,
590,,,,,,,,
591,Q500692,University of Bremen,university in Germany,public university,,unibremen,+8058,
592,Q101380903,Otto-von-Guericke-Universität Magdeburg Medizinische Fakultät,medical school,medical school,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,Q101836462,Universität Siegen Department Physik,academic department,academic department,,,,
599,,,,,,,,
600,,,,,,,,
601,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
602,,,,,,,,
603,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
604,,,,,,,,
605,,,,,,,,
606,,,,,,,,
607,,,,,,,,
608,Q878592,Helmholtz Zentrum München,German medical research institute,research institute,+2293,,,
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,Q101836695,Universitätsklinikum Essen Institut für Humangenetik,research institute,research institute,,,,
615,,,,,,,,
616,Q700758,Saarland University,university,public university,,Saar_Uni,+3631,
617,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,Q1052186,Cewe Stiftung & Co. KGaA,,Stiftung & Co. KGaA,+3219,cewefotobuch,+1403,
622,,,,,,,,
